Name,Type,Age,Spread,Links
June,8,0,83,
Regulator,8,8,83,Mike's
Roz,8,8,83,https://docs.google.com/spreadsheets/d/1z-egCxyktMhYnDWbjB3wX95Ek8GOuv3dKT6HUC-53oU/edit#gid=0
Gini,4,5,85,Alec's
Polar Bear,4,10,85,https://docs.google.com/spreadsheets/d/14cpSay_uBFFSICwNROyRteyJyPsFAWzeDWBQjNDMPdc/edit#gid=0
Typhoon,4,13,85,
Arg,2,8,86,
Laoch,2,10,86,
M. Rambler,2,0,86,
